respondent_id,campus,studyfield,branch,role,edulevel,proglang,databases,platform,webframework,industry,allsearch,aitool,employment
5,Durban,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,Express;Gatsby;NestJS;Next.js;Node.js;React,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Employed, full-time"
5,Durban,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;JavaScript;TypeScript,BigQuery;Elasticsearch;MongoDB;PostgreSQL,Amazon Web Services (AWS);Firebase;Heroku;Netlify;Vercel,Express;Gatsby;NestJS;Next.js;Node.js;React,"Information Services, IT, Software Development, or other Technology",ChatGPT,GitHub Copilot;Synk Code;Tabnine;Whispr AI,"Independent contractor, freelancer, or self-employed"
9,Durban,Computer Science,"I am not primarily a developer, but I write code sometimes as part of my work/studies",System administrator,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",C#;JavaScript;PowerShell;Ruby;TypeScript,MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;SQLite,Digital Ocean;Microsoft Azure;Netlify,ASP.NET CORE;Next.js;React;Ruby on Rails,"Manufacturing, Transportation, or Supply Chain",none,GitHub Copilot;Mintlify,"Employed, full-time"
10,Durban,IT,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,Cloud Firestore;MongoDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Firebase;Google Cloud;Heroku;Netlify;Vercel,Angular;Express;NestJS;React,Healthcare,Bing AI;ChatGPT,AWS CodeWhisperer;Codeium;Tabnine,"Not employed, but looking for work"
12,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",C#;HTML/CSS;JavaScript;Kotlin;PowerShell;Python;SQL;TypeScript,Cosmos DB;Microsoft SQL Server;MySQL;Redis,Digital Ocean;Microsoft Azure;Netlify,ASP.NET CORE;Node.js;Vue.js,"Information Services, IT, Software Development, or other Technology",ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
18,Durban,Computer Science,I am a developer by profession,"Developer, front-end","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",HTML/CSS;JavaScript;SQL;TypeScript,MongoDB;MySQL;Oracle;PostgreSQL,Netlify;Vercel,Express;Next.js;React,Advertising Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Whispr AI,"Employed, full-time"
21,Nelson Mandela Bay Campus,Computer Science,I am a developer by profession,"Developer, front-end","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",JavaScript;PHP;Ruby;TypeScript,MySQL,Amazon Web Services (AWS);Cloudflare;Netlify,Laravel;Next.js;React;Ruby on Rails,Advertising Services,ChatGPT,AWS CodeWhisperer;GitHub Copilot;Synk Code,"Employed, full-time"
30,Durban,IT,I am a developer by profession,"Developer, back-end","Associate degree (A.A., A.S., etc.)",Elixir;Go;Java;JavaScript;PHP;Ruby,MySQL;PostgreSQL;Redis,Amazon Web Services (AWS);Digital Ocean;Google Cloud;Microsoft Azure;VMware,jQuery;Node.js;Spring Boot;WordPress,Wholesale,ChatGPT,Codeium;GitHub Copilot;Synk Code,"Employed, full-time"
32,Midrand Campus,Computer Science,I am a developer by profession,"Developer, full-stack","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Bash/Shell (all shells);Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,PostgreSQL,Amazon Web Services (AWS);Cloudflare;Google Cloud;Netlify,Next.js;Node.js;React;Vue.js,Retail and Consumer Services,none,AWS CodeWhisperer,"Employed, full-time"
33,Durban,IT,I am a developer by profession,"Developer, back-end","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Java;JavaScript;Lua;Python;SQL;TypeScript,Cassandra;H2;MariaDB;MySQL;PostgreSQL;SQLite,Amazon Web Services (AWS);Heroku;Hetzner,AngularJS;Node.js;Spring Boot,Oil & Gas,ChatGPT,Adrenaline;Tabnine,"Employed, full-time"
