proglang,count
JavaScript,5340
HTML/CSS,4512
Python,4277
SQL,4172
TypeScript,3255
Bash/Shell (all shells),2865
Java,2602
C#,2325
C++,1891
C,1663
PHP,1520
PowerShell,1223
Rust,1089
Go,1074
Kotlin,782
Ruby,540
Lua,494
Dart,462
Assembly,448
Swift,402
R,373
Visual Basic (.Net),371
MATLAB,321
Groovy,310
VBA,306
Scala,234
Perl,226
Elixir,198
Objective-C,182
Haskell,180
Lisp,136
Delphi,124
GDScript,121
Clojure,109
Erlang,96
Prolog,88
Solidity,88
F#,87
Julia,85
Fortran,66
Apex,63
Zig,62
Ada,57
OCaml,51
Cobol,48
SAS,40
Nim,39
Crystal,36
APL,22
Raku,19
Flow,14
